column_position,column_name,unique_physical_type_count,observed_physical_types,compatibility,canonical_type,explanation,file_type_details_json
1,Flow Duration,2,int32 | int64,safe_numeric_widening,int64,Integer-width differences can be safely promoted to int64.,"[{""physical_type"": ""int32"", ""file_count"": 8, ""files"": [""Botnet-Friday-02-03-2018_TrafficForML_CICFlowMeter.parquet"", ""DDoS1-Tuesday-20-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DDoS2-Wednesday-21-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS1-Thursday-15-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS2-Friday-16-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil1-Wednesday-28-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil2-Thursday-01-03-2018_TrafficForML_CICFlowMeter.parquet"", ""Web2-Friday-23-02-2018_TrafficForML_CICFlowMeter.parquet""]}, {""physical_type"": ""int64"", ""file_count"": 2, ""files"": [""Bruteforce-Wednesday-14-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Web1-Thursday-22-02-2018_TrafficForML_CICFlowMeter.parquet""]}]"
2,Total Fwd Packets,2,int16 | int32,safe_numeric_widening,int64,Integer-width differences can be safely promoted to int64.,"[{""physical_type"": ""int16"", ""file_count"": 5, ""files"": [""Bruteforce-Wednesday-14-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS1-Thursday-15-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS2-Friday-16-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil2-Thursday-01-03-2018_TrafficForML_CICFlowMeter.parquet"", ""Web1-Thursday-22-02-2018_TrafficForML_CICFlowMeter.parquet""]}, {""physical_type"": ""int32"", ""file_count"": 5, ""files"": [""Botnet-Friday-02-03-2018_TrafficForML_CICFlowMeter.parquet"", ""DDoS1-Tuesday-20-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DDoS2-Wednesday-21-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil1-Wednesday-28-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Web2-Friday-23-02-2018_TrafficForML_CICFlowMeter.parquet""]}]"
3,Total Backward Packets,3,int16 | int32 | int8,safe_numeric_widening,int64,Integer-width differences can be safely promoted to int64.,"[{""physical_type"": ""int16"", ""file_count"": 4, ""files"": [""Bruteforce-Wednesday-14-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DDoS1-Tuesday-20-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS1-Thursday-15-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS2-Friday-16-02-2018_TrafficForML_CICFlowMeter.parquet""]}, {""physical_type"": ""int32"", ""file_count"": 5, ""files"": [""Botnet-Friday-02-03-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil1-Wednesday-28-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil2-Thursday-01-03-2018_TrafficForML_CICFlowMeter.parquet"", ""Web1-Thursday-22-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Web2-Friday-23-02-2018_TrafficForML_CICFlowMeter.parquet""]}, {""physical_type"": ""int8"", ""file_count"": 1, ""files"": [""DDoS2-Wednesday-21-02-2018_TrafficForML_CICFlowMeter.parquet""]}]"
4,Fwd Packets Length Total,2,int16 | int32,safe_numeric_widening,int64,Integer-width differences can be safely promoted to int64.,"[{""physical_type"": ""int16"", ""file_count"": 1, ""files"": [""DoS2-Friday-16-02-2018_TrafficForML_CICFlowMeter.parquet""]}, {""physical_type"": ""int32"", ""file_count"": 9, ""files"": [""Botnet-Friday-02-03-2018_TrafficForML_CICFlowMeter.parquet"", ""Bruteforce-Wednesday-14-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DDoS1-Tuesday-20-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DDoS2-Wednesday-21-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS1-Thursday-15-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil1-Wednesday-28-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil2-Thursday-01-03-2018_TrafficForML_CICFlowMeter.parquet"", ""Web1-Thursday-22-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Web2-Friday-23-02-2018_TrafficForML_CICFlowMeter.parquet""]}]"
5,Bwd Packets Length Total,3,float | int16 | int32,safe_numeric_promotion,double,Mixed numeric types can be safely promoted to float64.,"[{""physical_type"": ""float"", ""file_count"": 1, ""files"": [""Botnet-Friday-02-03-2018_TrafficForML_CICFlowMeter.parquet""]}, {""physical_type"": ""int16"", ""file_count"": 1, ""files"": [""DDoS2-Wednesday-21-02-2018_TrafficForML_CICFlowMeter.parquet""]}, {""physical_type"": ""int32"", ""file_count"": 8, ""files"": [""Bruteforce-Wednesday-14-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DDoS1-Tuesday-20-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS1-Thursday-15-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS2-Friday-16-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil1-Wednesday-28-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil2-Thursday-01-03-2018_TrafficForML_CICFlowMeter.parquet"", ""Web1-Thursday-22-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Web2-Friday-23-02-2018_TrafficForML_CICFlowMeter.parquet""]}]"
6,Fwd Packet Length Max,2,int16 | int32,safe_numeric_widening,int64,Integer-width differences can be safely promoted to int64.,"[{""physical_type"": ""int16"", ""file_count"": 8, ""files"": [""Botnet-Friday-02-03-2018_TrafficForML_CICFlowMeter.parquet"", ""DDoS1-Tuesday-20-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DDoS2-Wednesday-21-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS2-Friday-16-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil1-Wednesday-28-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil2-Thursday-01-03-2018_TrafficForML_CICFlowMeter.parquet"", ""Web1-Thursday-22-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Web2-Friday-23-02-2018_TrafficForML_CICFlowMeter.parquet""]}, {""physical_type"": ""int32"", ""file_count"": 2, ""files"": [""Bruteforce-Wednesday-14-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS1-Thursday-15-02-2018_TrafficForML_CICFlowMeter.parquet""]}]"
10,Bwd Packet Length Max,2,int16 | int32,safe_numeric_widening,int64,Integer-width differences can be safely promoted to int64.,"[{""physical_type"": ""int16"", ""file_count"": 9, ""files"": [""Botnet-Friday-02-03-2018_TrafficForML_CICFlowMeter.parquet"", ""Bruteforce-Wednesday-14-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DDoS1-Tuesday-20-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DDoS2-Wednesday-21-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS1-Thursday-15-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS2-Friday-16-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil1-Wednesday-28-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Web1-Thursday-22-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Web2-Friday-23-02-2018_TrafficForML_CICFlowMeter.parquet""]}, {""physical_type"": ""int32"", ""file_count"": 1, ""files"": [""Infil2-Thursday-01-03-2018_TrafficForML_CICFlowMeter.parquet""]}]"
14,Flow Bytes/s,2,double | float,safe_numeric_promotion,double,Mixed numeric types can be safely promoted to float64.,"[{""physical_type"": ""double"", ""file_count"": 8, ""files"": [""Botnet-Friday-02-03-2018_TrafficForML_CICFlowMeter.parquet"", ""Bruteforce-Wednesday-14-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DDoS1-Tuesday-20-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS1-Thursday-15-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil1-Wednesday-28-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil2-Thursday-01-03-2018_TrafficForML_CICFlowMeter.parquet"", ""Web1-Thursday-22-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Web2-Friday-23-02-2018_TrafficForML_CICFlowMeter.parquet""]}, {""physical_type"": ""float"", ""file_count"": 2, ""files"": [""DDoS2-Wednesday-21-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS2-Friday-16-02-2018_TrafficForML_CICFlowMeter.parquet""]}]"
15,Flow Packets/s,2,double | float,safe_numeric_promotion,double,Mixed numeric types can be safely promoted to float64.,"[{""physical_type"": ""double"", ""file_count"": 8, ""files"": [""Botnet-Friday-02-03-2018_TrafficForML_CICFlowMeter.parquet"", ""Bruteforce-Wednesday-14-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DDoS1-Tuesday-20-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS1-Thursday-15-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil1-Wednesday-28-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil2-Thursday-01-03-2018_TrafficForML_CICFlowMeter.parquet"", ""Web1-Thursday-22-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Web2-Friday-23-02-2018_TrafficForML_CICFlowMeter.parquet""]}, {""physical_type"": ""float"", ""file_count"": 2, ""files"": [""DDoS2-Wednesday-21-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS2-Friday-16-02-2018_TrafficForML_CICFlowMeter.parquet""]}]"
18,Flow IAT Max,3,float | int32 | int64,safe_numeric_promotion,double,Mixed numeric types can be safely promoted to float64.,"[{""physical_type"": ""float"", ""file_count"": 1, ""files"": [""Botnet-Friday-02-03-2018_TrafficForML_CICFlowMeter.parquet""]}, {""physical_type"": ""int32"", ""file_count"": 7, ""files"": [""DDoS1-Tuesday-20-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DDoS2-Wednesday-21-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS1-Thursday-15-02-2018_TrafficForML_CICFlowMeter.parquet"", ""DoS2-Friday-16-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil1-Wednesday-28-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Infil2-Thursday-01-03-2018_TrafficForML_CICFlowMeter.parquet"", ""Web2-Friday-23-02-2018_TrafficForML_CICFlowMeter.parquet""]}, {""physical_type"": ""int64"", ""file_count"": 2, ""files"": [""Bruteforce-Wednesday-14-02-2018_TrafficForML_CICFlowMeter.parquet"", ""Web1-Thursday-22-02-2018_TrafficForML_CICFlowMeter.parquet""]}]"
