label,count,proportion,percentage
Benign,5329008,0.8002075821544217,80.02075821544217
DDoS attacks-LOIC-HTTP,575364,0.08639706213589783,8.639706213589784
DDOS attack-HOIC,198861,0.02986110735709356,2.986110735709356
DoS attacks-Hulk,145199,0.02180318376726773,2.180318376726773
Bot,144535,0.021703477061150844,2.170347706115084
Infilteration,118483,0.01779149045308289,1.779149045308289
SSH-Bruteforce,94048,0.014122313700121871,1.4122313700121871
DoS attacks-GoldenEye,41406,0.006217554026318966,0.6217554026318967
DoS attacks-Slowloris,9908,0.0014877922352501648,0.14877922352501646
DDOS attack-LOIC-UDP,1730,0.0002597780144310441,0.02597780144310441
Brute Force -Web,568,8.529127872649309e-05,0.00852912787264931
Brute Force -XSS,229,3.438680075416711e-05,0.003438680075416711
SQL Injection,85,1.276365966857731e-05,0.001276365966857731
DoS attacks-SlowHTTPTest,55,8.258838609079438e-06,0.0008258838609079437
FTP-BruteForce,53,7.958517205112913e-06,0.0007958517205112912
