column_name,canonical_type,is_numeric,null_count,null_percentage,infinite_count,infinite_percentage,negative_count,negative_percentage,zero_count,zero_percentage,minimum_finite_value,maximum_finite_value,exact_unique_count_if_le_10000,most_common_value_if_low_cardinality,most_common_count_if_low_cardinality,most_common_percentage_if_low_cardinality,is_constant,is_near_constant,near_constant_basis
Protocol,int64,True,0,0.0,0,0.0,0,0.0,100316,1.506352098015296,0.0,17.0,3.0,6,5195216.0,78.01172815146771,False,False,
Flow Duration,int64,True,0,0.0,0,0.0,14,0.0002102249827765675,0,0.0,-919011000000.0,120000000.0,,,,,False,False,
Total Fwd Packets,int64,True,0,0.0,0,0.0,0,0.0,0,0.0,1.0,309629.0,4565.0,2,1354768.0,20.343291390446055,False,False,
Total Backward Packets,int64,True,0,0.0,0,0.0,0,0.0,1279438,19.212130822406138,0.0,123118.0,2968.0,1,1361767.0,20.44838886576414,False,False,
Fwd Packets Length Total,int64,True,0,0.0,0,0.0,0,0.0,1344399,20.18758975855961,0.0,144391846.0,,,,,False,False,
Bwd Packets Length Total,double,True,0,0.0,0,0.0,0,0.0,1721167,25.845164495042596,0.0,156360426.0,,,,,False,False,
Fwd Packet Length Max,int64,True,0,0.0,0,0.0,0,0.0,1344399,20.18758975855961,0.0,64440.0,1498.0,0,1344399.0,20.18758975855961,False,False,
Fwd Packet Length Min,int64,True,0,0.0,0,0.0,0,0.0,5276064,79.22574739486198,0.0,1460.0,410.0,0,5276064.0,79.22574739486198,False,False,
Fwd Packet Length Mean,double,True,0,0.0,0,0.0,0,0.0,1344399,20.18758975855961,0.0,16529.314453125,,,,,False,False,
Fwd Packet Length Std,double,True,0,0.0,0,0.0,0,0.0,2710717,40.704316759796335,0.0,18401.58203125,,,,,False,False,
Bwd Packet Length Max,int64,True,0,0.0,0,0.0,0,0.0,1721167,25.845164495042596,0.0,65160.0,1462.0,0,1721167.0,25.845164495042596,False,False,
Bwd Packet Length Min,int64,True,0,0.0,0,0.0,0,0.0,5324988,79.96039361324489,0.0,1460.0,388.0,0,5324988.0,79.96039361324489,False,False,
Bwd Packet Length Mean,double,True,0,0.0,0,0.0,0,0.0,1721167,25.845164495042596,0.0,33879.28515625,,,,,False,False,
Bwd Packet Length Std,double,True,0,0.0,0,0.0,0,0.0,3040384,45.654619573867954,0.0,21326.23828125,,,,,False,False,
Flow Bytes/s,double,True,0,0.0,0,0.0,0,0.0,1340598,20.130513675735774,0.0,1806642857.14286,,,,,False,False,
Flow Packets/s,double,True,0,0.0,0,0.0,14,0.0002102249827765675,0,0.0,-0.0088953248,4000000.0,,,,,False,False,
Flow IAT Mean,double,True,0,0.0,0,0.0,14,0.0002102249827765675,0,0.0,-828219981824.0,120000000.0,,,,,False,False,
Flow IAT Std,double,True,0,0.0,0,0.0,0,0.0,2024922,30.406370898135183,0.0,474354483200.0,,,,,False,False,
Flow IAT Max,double,True,0,0.0,0,0.0,3,4.5048210594978745e-05,0,0.0,-828220000000.0,979781000000.0,,,,,False,False,
Flow IAT Min,double,True,0,0.0,0,0.0,15,0.00022524105297489373,366070,5.49693281750129,-947405000000.0,120000000.0,,,,,False,False,
Fwd IAT Total,double,True,0,0.0,0,0.0,14,0.0002102249827765675,1101014,16.532903513339978,-919011000000.0,120000000.0,,,,,False,False,
Fwd IAT Mean,double,True,0,0.0,0,0.0,14,0.0002102249827765675,1101014,16.532903513339978,-828219981824.0,120000000.0,,,,,False,False,
Fwd IAT Std,double,True,0,0.0,0,0.0,0,0.0,2456654,36.88928891699897,0.0,474354483200.0,,,,,False,False,
Fwd IAT Max,double,True,0,0.0,0,0.0,3,4.5048210594978745e-05,1101014,16.532903513339978,-828220000000.0,979781000000.0,,,,,False,False,
Fwd IAT Min,double,True,0,0.0,0,0.0,15,0.00022524105297489373,1147497,17.230895504368775,-947405000000.0,120000000.0,,,,,False,False,
Bwd IAT Total,double,True,0,0.0,0,0.0,0,0.0,2657919,39.91149828546511,0.0,120000000.0,,,,,False,False,
Bwd IAT Mean,double,True,0,0.0,0,0.0,0,0.0,2657919,39.91149828546511,0.0,120000000.0,,,,,False,False,
Bwd IAT Std,double,True,0,0.0,0,0.0,0,0.0,3371303,50.62372250782788,0.0,84800000.0,,,,,False,False,
Bwd IAT Max,double,True,0,0.0,0,0.0,0,0.0,2657919,39.91149828546511,0.0,120000000.0,,,,,False,False,
Bwd IAT Min,double,True,0,0.0,0,0.0,0,0.0,2959794,44.444474476584844,0.0,120000000.0,,,,,False,False,
Fwd PSH Flags,int64,True,0,0.0,0,0.0,0,0.0,6439625,96.69786105089668,0.0,1.0,2.0,0,6439625.0,96.69786105089668,False,False,
Bwd PSH Flags,int64,True,0,0.0,0,0.0,0,0.0,6659532,100.0,0.0,0.0,1.0,0,6659532.0,100.0,True,True,exact_low_cardinality_mode
Fwd URG Flags,int64,True,0,0.0,0,0.0,0,0.0,6657468,99.96900683111066,0.0,1.0,2.0,0,6657468.0,99.96900683111066,False,True,exact_low_cardinality_mode
Bwd URG Flags,int64,True,0,0.0,0,0.0,0,0.0,6659532,100.0,0.0,0.0,1.0,0,6659532.0,100.0,True,True,exact_low_cardinality_mode
Fwd Header Length,int64,True,0,0.0,0,0.0,0,0.0,100316,1.506352098015296,0.0,2477032.0,6568.0,8,970598.0,14.574567702355061,False,False,
