fine_grained_label,population_rows,raw_proportional_target,sample_target
Benign,4994157,237066.10252762877,100000
DDoS attacks-LOIC-HTTP,575364,27311.776745245814,100000
DDOS attack-HOIC,198861,9439.671643231637,72495
DoS attacks-Hulk,145199,6892.406670617117,6892
Bot,144535,6860.887458850577,6861
Infilteration,113819,5402.83910249361,5403
SSH-Bruteforce,94048,4464.335584667929,4464
DoS attacks-GoldenEye,41406,1965.4886783212855,1965
DoS attacks-Slowloris,9863,468.1837133334019,500
DDOS attack-LOIC-UDP,1730,82.12083788571279,500
Brute Force -Web,553,26.250186907976403,500
Brute Force -XSS,228,10.822861871643074,228
SQL Injection,84,3.9873701632369216,84
DoS attacks-SlowHTTPTest,55,2.610778083071794,55
FTP-BruteForce,53,2.51584069823282,53
