,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Down/Up Ratio,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
Protocol,1.0,-0.003952722057731,0.14547633179494768,-0.009371688135525266,0.14465452956923996,-0.00499039949488562,-0.1548345189747418,0.6406901836435246,-0.02368967092491805,-0.21416125542412998,-0.24395479303630857,0.8598829408401661,-0.06415502794840545,-0.3031701860911578,0.0002047188797340557,-0.006206873005393657,-0.04001023599068745,-0.004300864301237257,-0.008056921613009055,0.0016839025991251194,-0.0036401588492394623,-0.04031736464407744,-0.004294405706624979,-0.007900330649721494,0.0016886633602280908,-0.0536523134938333,-0.0290185136288464,-0.056066940468958784,-0.04985292988637597,-0.0038836689348241797,-0.03400590196448864,0.14504269310679696,-0.013384768380336589,-0.006679565961780247,-0.0003438765012324726,0.6582667658081917,-0.26091087144774877,-0.06506281216265437,-0.2592899564049383,-0.19791870061129957,-0.009098866261503778,-0.03400590196448864,-0.26095651027920663,-0.3346590392529443,-0.19297579358072645,-0.026234030638101185,-0.26095825843182724,0.1904146183548337,-0.013978892495052691,-0.02368967092491805,-0.06415502794840545,0.14547633179494768,0.14465452956923996,-0.009371688135525266,-0.004990399474643443,-0.22542554114539,-0.0866895117270097,0.1456043503374549,-0.6272612548311555,-0.034594644463298435,-0.03555645132606845,-0.03978995322571961,-0.024956934625147753,-0.009884681674261639,-0.003985040748810272,-0.007544268839581945,-0.053283049219189076
Flow Duration,-0.003952722057731,1.0,0.013810743308944079,0.003968390117753673,0.013803963336206366,0.003170301195579778,-0.00012119442457160294,0.0013430522033799457,-0.007169803688745476,-0.006814218927062978,-0.004511432863066208,-0.0067844915283952496,0.0005206303919874001,-0.009497565336394278,-0.0034876552136749064,-0.0016657172736702693,0.9553315930346509,-0.9971003202713803,-0.9953151737623975,0.9978958485154273,0.9999788621514973,0.9550515561158417,-0.9970771981612243,-0.99531710788771,0.9979163962806894,0.05204885073897991,0.026556385028302175,0.03607279561242438,0.038533656912407614,0.010554861092992255,0.0035802980509066587,0.013876062188378772,0.004099879345150457,-0.0012664717449079228,-0.0020225807537366924,0.0013452907209553686,-0.005376583565875737,0.0021064941958619894,-0.007218814943020655,0.0013411450107592656,-0.0008702498520928792,0.0035802980509066587,-0.021228103554725174,-0.012835478590242531,0.01691282017418121,-0.0008260934793865298,-0.021227422018342604,-0.014151752201083962,-0.0006522516031008099,-0.007169803688745476,0.0005206303919874001,0.013810743308944079,0.013803963336206366,0.003968390117753673,0.003170301184364795,-0.010979279091128322,-0.005068968327882053,0.013782792274476527,0.0013620464692505408,0.010462111408006684,0.010776521994388433,0.013811665457168878,0.007764705535851409,-0.9939639843265641,-0.9972237903508914,-0.9954664095821667,-0.9064370962754602
Total Fwd Packets,0.14547633179494768,0.013810743308944079,1.0,0.004117685746867996,0.9957134124861748,0.005313610445962367,-0.026264051194256413,0.06461264961810523,-0.014370029793903782,-0.033452418157920105,-0.047947080385270166,-0.011723925205011216,-0.041880352257337466,-0.04756601413397765,-0.003319389835545579,-0.001229312336908305,-0.005663714810951012,-0.0001321673096899093,-0.0005850201924680528,-0.00022442185049659786,0.013877824961560564,-0.005798908804699945,-0.00012692039352684862,-0.0005619368168392532,-0.00022909933546260225,-0.008794366850634595,-0.0065252954916801414,-0.009710720594522368,-0.00844394119288305,-0.002230903977616694,-0.005217322861368098,0.9999064299465438,0.0038565023263049825,-0.0005222365649161531,-0.0030059099152823696,0.06644853490653711,-0.04833230883858116,-0.0285169135831746,-0.05102219971799609,-0.03143996389441846,-0.0014472125797979226,-0.005217322861368098,-0.041113416655802155,-0.05232446685887227,-0.030583878668969406,-0.004165405008984203,-0.04111368646998022,-0.04030253241134203,-0.03227131555268578,-0.014370029793903782,-0.041880352257337466,1.0,0.9957134124861748,0.004117685746867996,0.005313610415925901,-0.035535905690911716,-0.013382793128716495,0.9999734417432242,-0.10175295268241216,-0.0015285348211873983,-0.0014697580117678736,-0.001957057177163166,-0.0011813625578845134,-0.0008442861798326032,-9.334561792694083e-05,-0.0005507048304563687,-0.006450892223980772
Total Backward Packets,-0.009371688135525266,0.003968390117753673,0.004117685746867996,1.0,0.002930503936691304,0.9975566066476534,0.044670824013802575,-0.007080796020278204,0.021348000449248384,0.018420334949377254,0.05380658198345347,-0.00275682426523692,0.1416086687132828,0.017674839231663284,0.0037975030893148028,-0.0019007184823875134,-0.00557396198771395,-1.3161969509120312e-05,0.0004484850377705211,-0.00023772607845361563,0.003337153650106459,-0.005223004601493648,3.351460864162786e-05,0.00011741842204991599,-0.000240085328846368,0.08315106911956487,0.005669519726650076,0.019805108879862015,0.07153151157417387,-0.0009297195510778842,0.014221598691064674,0.015588923730294827,0.9996392803172085,-0.0016636083938915808,-0.0015063799383987447,-0.007229506306135868,0.05758740138865541,0.17114992843353696,0.0599500316294214,0.09463039362921671,-0.0010413501149054323,0.014221598691064674,-0.0023552025780161022,0.02899587530287199,-0.02384305071480944,-0.0028375870115600744,-0.00235551967681332,0.11651944333181102,0.15887242823403586,0.021348000449248384,0.1416086687132828,0.004117685746867996,0.002930503936691304,1.0,0.997556606650423,-0.003672488277226697,0.006924922689348433,-0.0019680074674747294,0.008787983449859309,0.06139946148847229,0.023904413725819668,0.06187780170023071,0.060679547544480725,0.0007491983460178576,6.446017999881046e-05,0.0004698463190326306,0.006170035252113294
Fwd Packets Length Total,0.14465452956923996,0.013803963336206366,0.9957134124861748,0.002930503936691304,1.0,-0.00012120692998606554,-0.004262238709240075,0.06452596900627332,0.010763392853611704,-0.020776687701003937,-0.04630924686190287,-0.012019495771157388,-0.04016594900791188,-0.04685576404431314,0.0004089959435007827,-0.0012537537029012355,-0.005836285918910812,-0.0001350336000869207,-0.000599183272332183,-0.0002297240706369942,0.013876040252354884,-0.005962462104163008,-0.00012855099072041397,-0.000573050276661479,-0.00023450776452648269,-0.007442357349872282,-0.006268213119306834,-0.009211904936384024,-0.008166302296866953,-0.0021844292737831523,-0.005239666138889408,0.9956125652239667,0.0033664555671932264,-0.0005627687516059013,-0.0029550552684781684,0.06626443380663008,-0.03559956232082546,-0.021713393256054505,-0.04438622587988664,0.023099988101101806,-0.0014830729018215805,-0.005239666138889408,-0.04076610354380462,-0.05116789032254076,-0.031135192975346396,-0.004221886971035712,-0.040766372162818004,-0.040241567131055624,-0.02588520248618068,0.010763392853611704,-0.04016594900791188,0.9957134124861748,1.0,0.0029305039366913054,-0.00012120693051366267,-0.03505777746670795,-0.012295885965244986,0.9957331191485808,-0.10077180030945672,-0.0018977117756576573,-0.001358863867033962,-0.002107540895271355,-0.0016320863189773858,-0.0008675063033106452,-9.653254230435851e-05,-0.0005658195568262943,-0.006618792273845936
Bwd Packets Length Total,-0.00499039949488562,0.003170301195579778,0.005313610445962367,0.9975566066476534,-0.00012120692998606554,1.0,0.016784785262787125,-0.0036064593843056713,-0.0028342503934708093,0.00030171090529407436,0.0329583442692588,0.001021293610925187,0.12626633417438654,0.0020004839785144634,0.0023461878324875073,-0.0009458289717862871,-0.0023466759225075733,-6.717013736628561e-06,0.0006022503609782602,-9.670325813858066e-05,0.0025504356872099163,-0.002229609281133345,2.5040134704415297e-05,0.00027262429902030245,-9.869132224721843e-05,0.06059125320684401,-0.00013103453655670318,0.007793497684637413,0.05831579156769473,-0.000931470578431549,0.013596537682526057,0.016723460722366586,0.996677490597861,-0.0007815500526025843,-0.0009194368858424459,-0.00366282453892565,0.03127332623207863,0.15141965689465806,0.040106469332366335,0.05492484492993575,-0.0005930221864756245,0.013596537682526057,-0.008306786285094733,0.011262175252001754,-0.008427952850555812,-0.0016935217351836886,-0.00830691183602244,0.09824881291958946,0.1402801257818015,-0.0028342503934708093,0.12626633417438654,0.005313610445962367,-0.00012120692998606555,0.9975566066476534,0.999999999999992,-0.006401203961810518,-0.0011372561755241073,-0.0007762707609584149,0.0012143542964759,0.059048715693001914,0.020608696535422105,0.05775514285582587,0.05924999099576373,0.0009558706742755273,9.581539782119067e-05,0.0006093239522979613,0.007651037087892746
Fwd Packet Length Max,-0.1548345189747418,-0.00012119442457160294,-0.026264051194256413,0.044670824013802575,-0.004262238709240075,0.016784785262787125,1.0,-0.07185587210848236,0.8904128746733566,0.9416659417092759,0.39408016739985663,-0.14997486299197368,0.3214624857943835,0.33393801809708046,0.0689162763253616,-0.019550503845941904,-0.08473711760893114,-0.000683188531810517,-0.005988506797641973,-0.0035981405253518936,0.00018888242192317692,-0.08093221325865624,-0.00022896387811903614,-0.005724140507138159,-0.0036414025821524415,0.17538101821661642,0.04104185591993102,0.10852412641651074,0.10620236694910094,-0.018831263810705424,-0.05144935424898421,-0.024977738887741806,0.05280435888072415,-0.017725487493776105,-0.013242097812855657,-0.0761489319103501,0.603793219506371,0.5223205655086502,0.52072129850298,0.47226079759551626,-0.015843798689233142,-0.05144935424898421,0.20285789685282832,0.36396472763709536,-0.273962819641801,-0.014994491026427472,0.20285466790127857,-0.029151567723831488,0.5153372983130025,0.8904128746733566,0.3214624857943835,-0.02626405119425641,-0.0042622387092400744,0.044670824013802575,0.01678478516576712,0.2916592971026464,0.49943238650578964,-0.026517585388842104,0.3224714168577501,0.009653215514068095,0.01493591565239333,0.021661188404229287,0.006887768173816705,-0.00924752129630521,-0.0011382119767519875,-0.006074004155120866,-0.06931623530524514
Fwd Packet Length Min,0.6406901836435246,0.0013430522033799457,0.06461264961810523,-0.007080796020278204,0.06452596900627332,-0.0036064593843056713,-0.07185587210848236,1.0,0.14978062872305825,-0.1510487546370966,-0.17746719203142977,0.5274401866544836,-0.06270683928974827,-0.21363171384188198,0.015511749723287614,0.001941325649869661,-0.013777102848670519,6.391734433124841e-05,-0.001091648162554698,-0.0007163745803670461,0.00156459915024205,-0.013751391698783304,4.574647612777679e-05,-0.0009814151632464275,-0.0006890942158365816,-0.03710403531538706,-0.015108398591060326,-0.04013338690302582,-0.03292492939110903,0.004202404278919382,0.003927936868638249,0.06429982552737261,-0.00959774884810267,-0.001483339032243827,0.013215313850511208,0.9744346977907283,-0.16725787665428138,0.056405632511396506,-0.18830633826105717,-0.1388935094803888,-0.006424946429192671,0.003927936868638249,-0.1842681880034506,-0.2363114631481612,-0.1283470138088134,0.0024005364148435835,-0.1842694224195451,0.09162637865992292,0.1025956203267322,0.14978062872305825,-0.06270683928974827,0.06461264961810523,0.06452596900627332,-0.007080796020278204,-0.0036064593694803007,-0.15884007347001514,-0.06112794000678167,0.06468769510738934,-0.447879699703522,0.06032030260414011,-0.002525112011459035,0.04556105097122394,0.06930996673245927,-0.002098755750351878,0.0007834591617015755,-0.0007436661710312219,-0.021346327838160654
Fwd Packet Length Mean,-0.02368967092491805,-0.007169803688745476,-0.014370029793903782,0.021348000449248384,0.010763392853611704,-0.0028342503934708093,0.8904128746733566,0.14978062872305825,1.0,0.9106281463047458,0.3636417897403909,-0.04366718355930329,0.3214311217595492,0.34135290888169845,0.09915949678864028,-0.017184366498578407,-0.09757659697757957,-0.0010322856348835463,-0.007778483825325396,-0.004114740972421497,-0.006743976005568215,-0.09509670756276432,-0.0006852659710293848,-0.007476125688494689,-0.004124863612010929,0.055623889617363746,0.01827556037146632,0.04652740432587508,0.04295863628760035,-0.001399709623569728,-0.02773440130597521,-0.013574008486041657,0.026546573871391747,-0.017722255117484882,-0.003780209284869671,0.13874158419263424,0.5584116897275693,0.562006904951458,0.5089815180130557,0.45962385907115705,-0.018261725511682,-0.02773440130597521,0.27887993985279713,0.37497596927048477,-0.36072600635793783,-0.020540939583696016,0.2788804605731991,0.10589571820053642,0.5771021339619802,1.0,0.3214311217595492,-0.014370029793903782,0.010763392853611704,0.021348000449248384,-0.002834250408290605,0.41928940149590566,0.36141774250036457,-0.014439618440744869,0.17417219886244617,0.02383902437785179,0.007876353222366787,0.025414344690474388,0.024638894950124175,-0.012006854531350043,-0.0010474157088559875,-0.00763135777556502,-0.09243854645847675
Fwd Packet Length Std,-0.21416125542412998,-0.006814218927062978,-0.033452418157920105,0.018420334949377254,-0.020776687701003937,0.00030171090529407436,0.9416659417092759,-0.1510487546370966,0.9106281463047458,1.0,0.38033055134084637,-0.20064498082106116,0.3184596608726683,0.38246009282047,0.09208347853521244,-0.017407227689460052,-0.09168633745464673,-0.0010332573466063633,-0.007432761946384991,-0.0038305564528062744,-0.006448208656874643,-0.08893425980993958,-0.0006626085678416426,-0.007161031537384778,-0.003863212672298735,0.07700742042030831,0.008198862208578007,0.04779338154933223,0.038873749119404215,-0.021712563214385642,-0.05316505048576071,-0.03272231948166625,0.023637107965681643,-0.016886620987408365,-0.00773851447023734,-0.15365823645655008,0.5937958398462208,0.5135788731305366,0.561850241877331,0.42880618872013254,-0.015583978062714793,-0.05316505048576071,0.32019140313342,0.40770149938845124,-0.28377370510349165,-0.014127877674538561,0.3201876217008085,0.04656179973031566,0.5170861481815502,0.9106281463047458,0.3184596608726683,-0.0334524181579201,-0.020776687701003937,0.018420334949377254,0.00030171088131389953,0.4582130960069812,0.3726802625175679,-0.0335517840587449,0.34170226110789,-0.0060130942275913824,0.002140431997518001,0.0014728499553214782,-0.006417384380820206,-0.011248154076145257,-0.0013987580546196518,-0.007401466638573731,-0.08451224393676915
