,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Down/Up Ratio,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
Protocol,1.0,-0.25058489170006215,-0.3994543847977128,-0.1467330475802983,0.055857246279495516,-0.1173489370715496,0.03902454954553114,0.9540420670738353,0.07430793302958318,-0.2929710893631789,-0.12145849603592368,0.914439358003294,-0.048869076921972655,-0.28628745279244483,0.24010217636926096,0.23237580207284003,-0.21635831549937204,-0.17687589977062126,-0.24913067390562224,0.10965835081101,-0.2843413181822597,-0.2889386533574951,-0.2941813855121416,-0.28955193301984405,-0.25176502635258746,-0.20581347514518764,-0.19876071341439583,-0.2732728212289246,-0.2042266825988757,-0.13144579353979458,-0.03202883404872328,-0.3963713933140713,-0.1664743004975552,0.22775630665517077,0.24525599993538527,0.9592804075852103,-0.12137639212183847,-0.07134501780742732,-0.13521574175520037,-0.13521574175520076,-0.008569867601969677,-0.03202883404872328,-0.24578476907906063,-0.3152023093618122,-0.18175638083272336,-0.024708811270887386,-0.2457864155958997,0.23843980087715252,-0.040036309647115055,0.07430793302958318,-0.048869076921972655,-0.3994543847977128,0.055857246279495516,-0.1467330475802983,-0.1173489370715496,-0.42785756907502864,-0.3015654443594534,-0.14200692727316852,-0.630826877686761,-0.051556332652371535,-0.05454327023941079,-0.05163031045621641,-0.051570658657553795,-0.17047152950464986,-0.11052197873875563,-0.1694215353725628,-0.1714992106611837
Flow Duration,-0.25058489170006215,1.0,0.07706397579991621,-0.0996941252604203,-0.23661911599370097,-0.04176710486771956,-0.29643705782105956,-0.22620295515107608,-0.3766281368555743,-0.25099226337825375,-0.05781000396972946,-0.24750445153958353,-0.17266508600411018,-0.10123149324675781,-0.7325404757936081,-0.9668481846598656,0.9579600324428388,0.2060512414085959,0.9815624685689596,0.2961468213574106,0.7291894599599851,0.7062060283817087,0.014176784303000756,0.7293727837400589,0.3766080528339588,0.1660931057093244,0.15938813991483772,0.1630642382877465,0.15696976597756976,-0.10207474971694933,-0.074026060459063,0.07024745428588118,-0.04714826847301405,-0.9682915334385737,-0.755064635414215,-0.22977244803724692,-0.057241377709063394,-0.2834562656046622,-0.17801766245672412,-0.17801766245641343,-0.03291090188598232,-0.074026060459063,-0.3307322357060803,-0.24207459778959672,0.37163147318743384,-0.04059333362203229,-0.3307222384765326,-0.43209896564179423,-0.31583257466870707,-0.3766281368555743,-0.17266508600411018,0.07706397579991621,-0.23661911599370097,-0.0996941252604203,-0.04176710486771956,-0.3829207440624948,-0.24664423523507162,-0.03417348981885825,0.18119365602981807,0.34659000725949374,0.30894560570297963,0.34694417258751153,0.34628307360075966,0.6981694650550315,0.33423498677840136,0.698485354688111,0.69726148602357
Total Fwd Packets,-0.3994543847977128,0.07706397579991621,1.0,0.8013756315132022,0.7791113408835306,0.7225807489620353,0.7360525297099954,-0.40638401310225636,0.658504688287105,0.7986400661074262,0.7112350059790181,-0.42169313950943843,0.5361862342151555,0.6231480497533305,0.3340537796645138,0.09809662950961225,-0.13007462231252345,0.7783079589316835,-0.01869922139500528,-0.626073872279668,0.08920774857313535,-0.03237232645855895,0.9151050144026147,0.03821301566670532,-0.37087592110196854,0.7782258097068833,0.7529742257314361,0.7146569516868113,0.7489569372368976,0.6764796818154565,0.006514234160234971,0.9591084028769097,0.8449564229938165,0.08388967813484906,0.2505046198147539,-0.40679632107933406,0.7549722913442288,0.6840617867308308,0.6060011955579976,0.606001195556325,-0.02797628103068687,0.006514234160234971,0.40583910389908723,0.7078026433409859,-0.5147182145116095,-0.06559081194060158,0.40584905196615867,0.11235853402795021,0.6442847797286874,0.658504688287105,0.5361862342151555,1.0,0.7791113408835306,0.8013756315132022,0.7225807489620353,0.41494894606227983,0.758664449030172,0.8955436753997574,0.3988479052155322,0.3422976204106487,0.31870950411629867,0.3427232030667458,0.34187997203801584,-0.2433502538949299,0.30646727332897333,-0.24080378387467813,-0.24740498094492583
Total Backward Packets,-0.1467330475802983,-0.0996941252604203,0.8013756315132022,1.0,0.7784401026411262,0.9157003764519486,0.738978371318707,-0.18233440759662717,0.6848134005911487,0.744000529892296,0.9041065659463787,-0.15855200116609441,0.7739827944120465,0.7871922171044209,0.5322107732414478,0.2510161851338868,-0.27793057968723917,0.7458004046477453,-0.1769883796593336,-0.7385680521741209,-0.20275953502503194,-0.301651358843919,0.7685333817486091,-0.24924898344308066,-0.4964266682747718,0.8756250383446126,0.8449812963793016,0.8461998987245571,0.8518124918147502,0.6843426709155447,-0.08146962831822208,0.7980981735198909,0.9648988723418928,0.2143812481376876,0.5244645625877599,-0.18390285380142687,0.892186972175152,0.7893065143700442,0.7766931125769732,0.7766931125768557,-0.015569889694386487,-0.08146962831822208,0.5645042948058946,0.844461903459944,-0.76315495960295,-0.02548520977570628,0.5644953113250534,0.5311650163747991,0.7604252275891391,0.6848134005911487,0.7739827944120465,0.8013756315132022,0.7784401026411262,1.0,0.9157003764519486,0.4737176336649851,0.7900982605545916,0.9062832749398717,0.1443541828550374,0.2904763581005896,0.29533723763579284,0.2911666990870818,0.28983283990103137,-0.37770568905579616,0.2449551354193079,-0.3764162512189506,-0.38028555734344144
Fwd Packets Length Total,0.055857246279495516,-0.23661911599370097,0.7791113408835306,0.7784401026411262,1.0,0.6488777197406228,0.9794006005402974,0.029415546085447754,0.9478027822811826,0.8827727815334449,0.6400035701437886,0.010871544326064847,0.49474734554639593,0.4654347412204063,0.6651894551657599,0.41034715385584813,-0.4365632734883497,0.5304073277631338,-0.3399862629684638,-0.5818541654672562,-0.05867230324663613,-0.17049058648815638,0.7941446878848205,-0.10696225293208877,-0.44821431272164397,0.6031248973616476,0.5675029945891619,0.5060214281930022,0.5598835148428843,0.6472353625566948,0.022732190755198903,0.7507656648692896,0.8200296888906974,0.39233777306950457,0.5780209370699525,0.030490498669428694,0.683814210712477,0.8183294210734745,0.5427561991356634,0.542756199130048,-0.0265368115334139,0.022732190755198903,0.36160461800444565,0.5951264171001164,-0.6250183843895746,-0.04054825371798359,0.3616122630762011,0.28824965743648223,0.7988708870266048,0.9478027822811826,0.49474734554639593,0.7791113408835306,1.0,0.7784401026411262,0.6488777197406228,0.378794610326084,0.7478857675978712,0.8443331166985392,0.10287127552357886,0.2509209250275689,0.2321661508190147,0.2513035223978024,0.25032683541351997,-0.364443000795796,0.19422990355522585,-0.36185725029001103,-0.36838993593092556
Bwd Packets Length Total,-0.1173489370715496,-0.04176710486771956,0.7225807489620353,0.9157003764519486,0.6488777197406228,1.0,0.6206729818792592,-0.15434841180755307,0.5689037286324043,0.638839085994836,0.9930010420213652,-0.1271322183206133,0.905019733232247,0.8937438887188988,0.4746760706873134,0.16285189153650936,-0.18484587168822347,0.7557941683149111,-0.09172313266460735,-0.7432072212072438,-0.2840904298570607,-0.3734595227674476,0.6525334229931963,-0.3190467764278392,-0.533116539322799,0.8788231276612728,0.8602112911920204,0.8733432604777843,0.8696746759251751,0.635758014459545,-0.11187158753270045,0.7221445096322363,0.8817815204109937,0.12915020722933143,0.43120015998668576,-0.15183983590008454,0.9791168342334832,0.7993729301925703,0.8851237202501799,0.8851237202501275,-0.029411920180582776,-0.11187158753270045,0.6211201664985979,0.8097069346145691,-0.7458679225123723,-0.07604411054118523,0.6211117652615251,0.5425575390690669,0.7777015286650716,0.5689037286324043,0.905019733232247,0.7225807489620353,0.6488777197406228,0.9157003764519486,1.0,0.43134219994989353,0.6902312259859746,0.8350037955011799,0.10935655524838764,0.2191219251662876,0.22288955192674,0.2195967889751387,0.2181431534659968,-0.3768694699396656,0.1712954930000561,-0.3760614515642899,-0.3786612074878245
Fwd Packet Length Max,0.03902454954553114,-0.29643705782105956,0.7360525297099954,0.738978371318707,0.9794006005402974,0.6206729818792592,1.0,0.012578453370495315,0.975642336588435,0.9195684573901193,0.6170522995206491,0.011034823396279545,0.4941431336898203,0.4648386535396685,0.699108539682236,0.4471586032124538,-0.47166147669292596,0.497681577009669,-0.3857881524191341,-0.5703099896373097,-0.11162653381093363,-0.20663952222933996,0.7673463255194497,-0.152242039308949,-0.44826410402879685,0.5695145386635421,0.5396280406458549,0.4804008446187561,0.5302194552982707,0.661030977148406,0.015130189382576318,0.7135716355973036,0.7905011705871655,0.42908033732797524,0.6191285441973498,0.01368249362457966,0.6642182178098698,0.8326570623878098,0.5495425384844396,0.549542538468092,-0.02603948420641477,0.015130189382576318,0.4063519409696307,0.588268317617788,-0.607530286688669,-0.03898938870990146,0.4063530670166007,0.31696902389603293,0.8186051304552493,0.975642336588435,0.4941431336898203,0.7360525297099954,0.9794006005402974,0.738978371318707,0.6206729818792592,0.40846457103192146,0.7632494963956704,0.7847790872527562,0.12174746171631218,0.1935303857379571,0.17780868032590047,0.19413299180700616,0.19311720493237833,-0.39368816241584875,0.14013664084904984,-0.3918603348065192,-0.3965426646215446
Fwd Packet Length Min,0.9540420670738353,-0.22620295515107608,-0.40638401310225636,-0.18233440759662717,0.029415546085447754,-0.15434841180755307,0.012578453370495315,1.0,0.05094035796495226,-0.33405326812461045,-0.15865779095132135,0.9401410885186433,-0.08299464164727455,-0.32630423192347247,0.21894009939953454,0.20720626620023463,-0.1910669790157393,-0.18282899527357577,-0.22629220940086348,0.14578405445534257,-0.2597225097255656,-0.2656689238353754,-0.3059198942606543,-0.2667810133241382,-0.22844263840695636,-0.23565389644940613,-0.22811662450577833,-0.30881099349306784,-0.2339583176576496,-0.15817745751100978,0.0007632416457749729,-0.4549117563181147,-0.20344403752984425,0.20277686903652178,0.22424018779878876,0.9945033790365718,-0.15735708293315837,-0.10314194373125977,-0.17243297698656518,-0.17243297698656565,-0.009783899311908541,0.0007632416457749729,-0.2806033354024656,-0.35985476099633323,-0.19604524472607887,-0.005106783469372847,-0.2806052151695422,0.22535119906676085,-0.06994094444165924,0.05094035796495226,-0.08299464164727455,-0.40638401310225636,0.029415546085447754,-0.18233440759662717,-0.15434841180755307,-0.4866929825153675,-0.33931645332346727,-0.1743443728351587,-0.709677151351698,-0.030109018428116193,-0.04270327783765558,-0.030228163914318238,-0.030132488842394518,-0.13471069190351254,-0.031712836707017085,-0.1333492918152996,-0.13617642128561797
Fwd Packet Length Mean,0.07430793302958318,-0.3766281368555743,0.658504688287105,0.6848134005911487,0.9478027822811826,0.5689037286324043,0.975642336588435,0.05094035796495226,1.0,0.9149207454524453,0.5698057340642777,0.04303980752364665,0.49102407019166117,0.45148894402961265,0.7522357270977069,0.5099218443673922,-0.532361792121516,0.4365773388021411,-0.4543051374196314,-0.5604165883862228,-0.17869475572457424,-0.25653161306314876,0.7134409629797319,-0.20991312957083605,-0.4406265654251367,0.5058825140251357,0.4783745832553496,0.42049310094072323,0.4694148015976795,0.6615055607200206,0.0036252035665608855,0.6366777388922626,0.7315455926267982,0.49137943260189554,0.6785886167209074,0.051131343675963024,0.615946646473389,0.8495306871713793,0.5440157432882504,0.5440157432866968,-0.028721007923004638,0.0036252035665608855,0.4514802913052269,0.5740144961574527,-0.6139318065054791,-0.04502445476088105,0.4514825942428462,0.36325090596032367,0.8418311115227817,1.0,0.49102407019166117,0.658504688287105,0.9478027822811826,0.6848134005911487,0.5689037286324043,0.4269882745270837,0.7449771954593501,0.7231239859964053,0.06902007976710921,0.09330691231293543,0.0681128972505635,0.09317182965688302,0.09294759687295476,-0.4422795710808892,0.04082435554087847,-0.44002747280662935,-0.44530810266943166
Fwd Packet Length Std,-0.2929710893631789,-0.25099226337825375,0.7986400661074262,0.744000529892296,0.8827727815334449,0.638839085994836,0.9195684573901193,-0.33405326812461045,0.9149207454524453,1.0,0.6421793484798213,-0.31421468242358674,0.5400964330406969,0.5942249082302502,0.6240169463196021,0.38529812350886644,-0.41235584379204615,0.5361695026295666,-0.32434913843729635,-0.6145290203219854,-0.1001860735701097,-0.17549187333793284,0.8001107102817825,-0.1294836394790046,-0.37302283093604166,0.6205964314422506,0.5951705150591633,0.5683863435350651,0.5881471476699882,0.7156816941411952,0.013723955604459057,0.7963162758078989,0.7954150288512543,0.36860065695587185,0.5488528676243556,-0.33261026883940653,0.6867854116087769,0.8491154063711388,0.6263063550856903,0.6263063550768792,-0.023767209773875742,0.013723955604459057,0.5592358390299541,0.702985442925094,-0.5288254410542437,-0.041960210834645593,0.5592368781842819,0.28024194612438086,0.8283607466621958,0.9149207454524453,0.5400964330406969,0.7986400661074262,0.8827727815334449,0.744000529892296,0.638839085994836,0.5749863664642639,0.8416890887547354,0.7741998887072035,0.3286125280186533,0.11611497757136544,0.10270770989258607,0.11634968707669704,0.11574262746740002,-0.3815558783410336,0.06393072602945069,-0.38061209243038996,-0.3831774116148554
