method,feature_1,feature_2,correlation,absolute_correlation
Pearson,Total Fwd Packets,Subflow Fwd Packets,1.0,1.0
Pearson,Total Backward Packets,Subflow Bwd Packets,1.0,1.0
Spearman,Total Backward Packets,Subflow Bwd Packets,1.0,1.0
Pearson,Fwd PSH Flags,SYN Flag Count,1.0,1.0
Pearson,Bwd Packet Length Mean,Avg Bwd Segment Size,1.0,1.0
Pearson,Fwd Packet Length Mean,Avg Fwd Segment Size,1.0,1.0
Pearson,Fwd Packets Length Total,Subflow Fwd Bytes,1.0,1.0
Spearman,Total Fwd Packets,Subflow Fwd Packets,1.0,1.0
Spearman,Bwd Packets Length Total,Subflow Bwd Bytes,1.0,1.0
Spearman,Fwd Packets Length Total,Subflow Fwd Bytes,1.0,1.0
Spearman,Bwd Packet Length Mean,Avg Bwd Segment Size,1.0,1.0
Spearman,Fwd PSH Flags,SYN Flag Count,1.0,1.0
Spearman,Fwd Packet Length Mean,Avg Fwd Segment Size,1.0,1.0
Spearman,Packet Length Std,Packet Length Variance,0.9999999999999948,0.9999999999999948
Pearson,Bwd Packets Length Total,Subflow Bwd Bytes,0.999999999999992,0.999999999999992
Pearson,Flow IAT Min,Fwd IAT Min,0.9999949239209234,0.9999949239209234
Pearson,Flow IAT Max,Fwd IAT Max,0.9999941028066749,0.9999941028066749
Pearson,RST Flag Count,ECE Flag Count,0.999993301025877,0.999993301025877
Spearman,RST Flag Count,ECE Flag Count,0.9999933010258722,0.9999933010258722
Pearson,Flow IAT Std,Fwd IAT Std,0.9999915920931687,0.9999915920931687
Pearson,Fwd IAT Std,Idle Std,0.9999789058480039,0.9999789058480039
Pearson,Flow Duration,Fwd IAT Total,0.9999788621514973,0.9999788621514973
Pearson,Flow IAT Std,Idle Std,0.9999781807756897,0.9999781807756897
Pearson,Subflow Fwd Packets,Fwd Act Data Packets,0.9999734417432242,0.9999734417432242
Pearson,Total Fwd Packets,Fwd Act Data Packets,0.9999734417432242,0.9999734417432242
Pearson,Flow IAT Max,Idle Max,0.9999497512293519,0.9999497512293519
Pearson,Fwd IAT Max,Idle Max,0.9999459688731531,0.9999459688731531
Pearson,Total Fwd Packets,Fwd Header Length,0.9999064299465438,0.9999064299465438
Pearson,Fwd Header Length,Subflow Fwd Packets,0.9999064299465438,0.9999064299465438
Spearman,Active Mean,Active Max,0.9999014627141555,0.9999014627141555
Pearson,Idle Mean,Idle Max,0.9998508189464819,0.9998508189464819
Spearman,Idle Mean,Idle Max,0.9998225759367141,0.9998225759367141
