feature,is_discrete_for_mi,mi_attack_family,mi_fine_grained,mean_mi
Subflow Fwd Bytes,False,0.6908957276749546,1.0037690276395879,0.8473323776572712
Fwd Packets Length Total,False,0.690686464612986,1.0038860508524958,0.8472862577327409
Fwd Packet Length Mean,False,0.6843227072421112,0.9954862875104304,0.8399044973762708
Avg Fwd Segment Size,False,0.6834936735708215,0.9934298335148009,0.8384617535428112
Fwd Packet Length Max,False,0.6801832161512285,0.9942457599197907,0.8372144880355096
Avg Bwd Segment Size,False,0.6832669616671359,0.9867422935695167,0.8350046276183263
Bwd Packet Length Mean,False,0.6817697732016852,0.9857561612264105,0.8337629672140479
Bwd Packet Length Max,False,0.6735368110854951,0.9771450740973511,0.8253409425914231
Bwd Packets Length Total,False,0.6717345747287173,0.9752691218590741,0.8235018482938957
Subflow Bwd Bytes,False,0.6711365322375678,0.9748754016541092,0.8230059669458385
Packet Length Mean,False,0.6342924394806069,0.9467547849035964,0.7905236121921017
Packet Length Std,False,0.6366515804548967,0.9425650193792356,0.7896082999170662
Packet Length Variance,False,0.6347245782708133,0.9408876383227198,0.7878061082967666
Avg Packet Size,False,0.6303505325824674,0.9420019434029177,0.7861762379926925
Fwd IAT Total,False,0.5684101189112769,0.9520993741939789,0.7602547465526279
Init Fwd Win Bytes,False,0.5474530061961531,0.9716910718312206,0.7595720390136869
Bwd Packet Length Std,False,0.6044227781982121,0.9084134173922855,0.7564180977952488
Fwd Packet Length Std,False,0.6004373149333373,0.9002157154086106,0.7503265151709739
Fwd IAT Mean,False,0.5583864840703194,0.9386180654820153,0.7485022747761674
Packet Length Max,False,0.5889052828314696,0.9059053405616104,0.74740531169654
Fwd IAT Max,False,0.5592589506320618,0.9293021027337991,0.7442805266829304
Flow IAT Max,False,0.5091704336237164,0.9314428899526537,0.720306661788185
Flow Duration,False,0.4766072771168621,0.9019399638889156,0.6892736205028889
Fwd Header Length,False,0.6492057415182813,0.7135877493946385,0.6813967454564599
Fwd Packets/s,False,0.45406909491874803,0.872417959315581,0.6632435271171645
Flow IAT Mean,False,0.43686675342532455,0.8532350189097522,0.6450508861675384
Flow Packets/s,False,0.4333367863078521,0.8491225089784151,0.6412296476431336
Fwd IAT Min,False,0.43583043600301474,0.779542268840127,0.6076863524215709
Init Bwd Win Bytes,False,0.4501005540804488,0.7501129061919984,0.6001067301362236
Flow IAT Std,False,0.4281364032639179,0.7449504586341991,0.5865434309490585
Bwd Packets/s,False,0.430532712637844,0.7372736588217155,0.5839031857297797
Bwd Header Length,False,0.5328850190177046,0.5853567332223257,0.5591208761200152
Bwd IAT Max,False,0.40556576163797753,0.7103831435298351,0.5579744525839063
Bwd IAT Total,False,0.4065230205739063,0.7092411542994133,0.5578820874366598
Flow Bytes/s,False,0.38037919641665496,0.6884998841648209,0.5344395402907379
Fwd IAT Std,False,0.4180450711118444,0.637322237985823,0.5276836545488337
Bwd IAT Std,False,0.3712408862299552,0.6745660002401572,0.5229034432350562
Bwd IAT Mean,False,0.3689929402152481,0.6726813217845531,0.5208371309999006
Subflow Bwd Packets,False,0.4802853835300942,0.5312647191767246,0.5057750513534094
Total Backward Packets,False,0.47949881053389043,0.5304626461628144,0.5049807283483524
Flow IAT Min,False,0.39856574699869696,0.6066129189449807,0.5025893329718388
Subflow Fwd Packets,False,0.424681067768482,0.48647266859106164,0.45557686817977183
Total Fwd Packets,False,0.4249291966574724,0.4860482075562005,0.45548870210683645
Bwd IAT Min,False,0.4042136670210279,0.4696007827333273,0.4369072248771776
Fwd Seg Size Min,True,0.2543230726664419,0.2749396948939551,0.26463138378019846
Fwd Act Data Packets,False,0.2365747552360562,0.29190063697284474,0.26423769610445047
Idle Max,False,0.13514360789229074,0.24315601947057708,0.1891498136814339
Idle Min,False,0.12848280313072102,0.23674619408794007,0.18261449860933054
Idle Mean,False,0.12640266838950676,0.23563040145453895,0.18101653492202285
RST Flag Count,True,0.12392836066688245,0.16113441947306364,0.14253139006997306
ECE Flag Count,True,0.12392441906933033,0.16113047787551038,0.14252744847242035
Packet Length Min,False,0.09090081144236262,0.10297924615617049,0.09694002879926655
Fwd Packet Length Min,False,0.0901515915045763,0.10272597510998605,0.09643878330728117
Protocol,True,0.08848346625170875,0.10014696784844804,0.09431521705007839
Bwd Packet Length Min,False,0.08947280332622154,0.09016457013569035,0.08981868673095594
Active Max,False,0.06239780438932119,0.07095557908622308,0.06667669173777213
Active Min,False,0.06292353824055796,0.06954206480600611,0.06623280152328204
Active Mean,False,0.06219209276720883,0.07008814372284489,0.06614011824502686
Down/Up Ratio,True,0.04669641446187205,0.0833367547347671,0.06501658459831958
PSH Flag Count,True,0.032056544325981914,0.07437470667756368,0.0532156255017728
ACK Flag Count,True,0.030149447045731505,0.07002036733472253,0.05008490719022701
Idle Std,False,0.04715053023611615,0.0505653682443965,0.048857949240256326
Active Std,False,0.03823173256744772,0.04072555723370419,0.039478644900575954
Fwd PSH Flags,True,0.01486715547230191,0.016292055600394664,0.015579605536348287
SYN Flag Count,True,0.01486715547230191,0.016292055600394664,0.015579605536348287
URG Flag Count,True,0.008940627562360255,0.009391053748347929,0.009165840655354092
FIN Flag Count,True,0.0011047594612750094,0.0011564311335770642,0.0011305952974260368
