,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Down/Up Ratio,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
Protocol,1.0,0.005081905303600654,0.1473090366987983,-0.00947089050315772,0.14643451356313808,-0.0050886159559635664,-0.15275132723842877,0.7625359365675998,-0.044380652652623365,-0.19819874775885313,-0.23515064176868344,0.8651010318570814,-0.06284141017574621,-0.29474359730939054,-0.004502555905701437,-0.005121954020723549,-0.024026546543673123,-0.00785992184490303,-0.008729967696886746,0.0069105488027245325,0.005131836851511854,-0.0244507020396864,-0.007852055445631037,-0.008685209847642558,0.006906144799067822,-0.050645585019241206,-0.029227151291245892,-0.05259542813071791,-0.047215009084058936,-0.007516861496345398,-0.02829851772420418,0.14684404090986125,-0.013678366110927166,-0.005624861142675018,0.0008689633664971044,0.8054438076056923,-0.2587933363685225,-0.07631818085696015,-0.2546798643163297,-0.2019779429659955,-0.00818773775558063,-0.02829851772420418,-0.23316778652356782,-0.3056450937572888,-0.1916726837624159,-0.025155636492734838,-0.23316643478332033,0.19229411522032813,-0.02731720376113,-0.044380652652623365,-0.06284141017574621,0.1473090366987983,0.14643451356313808,-0.00947089050315772,-0.0050886159345607685,-0.21540913670771536,-0.08109009667398015,0.1474243924596109,-0.5818726961890346,-0.005932172184236176,-0.01466318902979423,-0.011751987280199112,-0.0037236357710609424,-0.009933095158161376,-0.007676534405007761,-0.008562494586054733,-0.00979025720986862
Flow Duration,0.005081905303600654,1.0,0.0023698623080704658,0.0008746992442435011,0.0023957235929152037,0.0006917096043531849,0.0014073951946388355,0.0002516099585357931,0.0006597968295770746,0.0005995927507055888,0.0017784594999967543,-0.0004427887097981914,0.0023831070049312466,0.0009666529861160327,-0.00040343434855348375,-0.00013105069866554413,0.7071555803556555,-0.7683050762100235,-0.9263141641700109,0.8021443037626299,0.9999994726631096,0.7065512021073949,-0.7683045894965983,-0.9263139917553236,0.8021456558186183,0.009026277349284208,0.0046254451095543315,0.006255370448958422,0.006753642012127328,0.0021076227149948537,0.0009249295508943079,0.002412643309487202,0.0009101521692536764,-9.616491165257919e-05,-0.0002006794926266376,0.0002482371617478194,0.0017654496228122186,0.002667961993277773,0.0015169130062035764,0.0019444244048275703,-5.216296232855526e-05,0.0009249295508943079,-0.0016468693734738773,0.0007200857171118267,0.00448852632839164,0.00019765190082388805,-0.0016468826601096262,2.152027493970642e-05,0.002353942798198663,0.0006597968295770746,0.0023831070049312466,0.0023698623080704658,0.0023957235929152037,0.0008746992442435011,0.0006917096016264971,-0.00026098395763621745,-0.00012016404245488883,0.0023913860363076723,0.009125944046132189,0.002344162488622882,0.0039708532754837,0.003620558259956366,0.0016462075225655156,-0.8091513471393608,-0.9111989097458183,-0.9263243825417997,-0.24134725917709693
Total Fwd Packets,0.1473090366987983,0.0023698623080704658,1.0,0.00448299941845591,0.9960184309509023,0.005681805148542714,-0.02531354385565637,0.08499111853142807,-0.01450138337597644,-0.03118335703512617,-0.046534480100971796,-0.010403550576960595,-0.04155857343237301,-0.04659090139348773,-0.004664473313545972,-0.0009594351985065722,-0.0039000055424254173,-0.00014021688113758312,-0.00025596118460392104,2.597513809644583e-05,0.0023806799015167134,-0.004007500813552508,-0.00013781187422090031,-0.00024927782347458134,2.4150790916172295e-05,-0.007808451095777347,-0.005702406494790403,-0.008852596471903569,-0.007622005025362116,-0.002104765593171223,-0.004292602658731135,0.9999021889244317,0.004174295165055818,-0.00027121103019252674,-0.003489614510329153,0.08989439454102337,-0.04768761691201665,-0.028179033710469606,-0.050148083012922486,-0.03231729673465979,-0.0013116861713755317,-0.004292602658731135,-0.03710246861097721,-0.04812271886326698,-0.030613381590895793,-0.004021017036023823,-0.03710225264462423,-0.037518960732366824,-0.031796797353624034,-0.01450138337597644,-0.04155857343237301,1.0,0.9960184309509023,0.00448299941845591,0.0056818051174644816,-0.03420249226640333,-0.012640098131376239,0.9999717332496809,-0.09472912982969753,-0.001640863490011738,-0.002911189525466043,-0.002514649339987839,-0.001116175812878964,-0.0003931261999526153,-0.00012070506772763306,-0.000243026642037367,-0.0006680654947652416
Total Backward Packets,-0.00947089050315772,0.0008746992442435011,0.00448299941845591,1.0,0.0025997936470725357,0.9976518618731257,0.041231658882581346,-0.00805032373843102,0.016839707241604232,0.013973586499703641,0.058612437315688326,-0.0018834795462632885,0.15888404678443802,0.017590478048286177,0.00335431969318454,-0.0019083943858404207,-0.0042561690197434835,-0.00013903613008303716,1.6425205346532495e-05,5.65175686772764e-05,0.0007620729685433967,-0.004007464181575711,-0.00011914566911101243,-8.968417782859089e-05,5.5367403809314004e-05,0.09590241324148398,0.004332560255951952,0.01855582712835894,0.07686837850086088,-0.0011056322402401607,0.02519303137394993,0.016359853561735724,0.9997067490110015,-0.0016312506158488414,-0.001844631265758921,-0.00841130352590812,0.060141389588479074,0.1896438119828623,0.0625411253751342,0.10040009680373864,-0.0009449954024940391,0.02519303137394993,-0.007026658152176682,0.029871798634986173,-0.024838003520058004,-0.0024102106818955356,-0.007026374387292102,0.13240031968050991,0.1754214033667223,0.016839707241604232,0.15888404678443802,0.00448299941845591,0.0025997936470725357,1.0,0.9976518618704793,-0.00371264193649398,0.005032949026960332,-0.001972746930661774,0.008557459083947266,0.144068356618287,0.11892606340113093,0.16126938113994424,0.12651971351407848,0.00019018802918055504,-6.898133999054598e-05,2.7580654894587663e-05,0.000553415053158896
Fwd Packets Length Total,0.14643451356313808,0.0023957235929152037,0.9960184309509023,0.0025997936470725357,1.0,-0.00012678126509752465,-0.006820596766228326,0.08466186438346775,0.007173550061093339,-0.020653686792476884,-0.04526006436462168,-0.010678703808337716,-0.04085037387021488,-0.045965362873738556,8.097156094653887e-07,-0.0009690732795249544,-0.004010241215432205,-0.00016443603065919408,-0.00028829332433203244,4.927671259992844e-05,0.0024073575358653306,-0.004110626245337741,-0.00016148904435690198,-0.00028069036066633366,4.741133170307569e-05,-0.006932415991217455,-0.005435578282637659,-0.008361539112315826,-0.007377774342907536,-0.002025240890400553,-0.004335966664646286,0.9959005419134228,0.0030578956667389676,-0.0003001669323228767,-0.003402220916796914,0.08938719537282495,-0.03615684329832741,-0.022591146150964827,-0.044309890237063575,0.019086894901004004,-0.0013381383648818645,-0.004335966664646286,-0.0369890934397211,-0.04709602604091867,-0.03105103795278171,-0.004032823898652275,-0.03698886752582386,-0.0374419671150584,-0.02654807751076384,0.007173550061093339,-0.04085037387021488,0.9960184309509023,1.0,0.0025997936470725357,-0.00012678126538097904,-0.03354515499544614,-0.011512520797183574,0.9960406030901804,-0.0935948477521918,-0.002034571802791242,-0.0023490931423639713,-0.002586151449590786,-0.0016550609508850017,-0.0004263797221918816,-0.00014846368876410878,-0.0002757213016151425,-0.0006933762011982814
Bwd Packets Length Total,-0.0050886159559635664,0.0006917096043531849,0.005681805148542714,0.9976518618731257,-0.00012678126509752465,1.0,0.01576292231481051,-0.004259279188415064,-0.005424195427133362,-0.0014969450413628133,0.035608514487959715,0.001788065347137466,0.1419373630394982,0.000893126879518614,0.0016119494478339298,-0.0009889723524106504,-0.0018104726280340825,-5.739962467409435e-05,0.00014917153155797727,2.3219185109251067e-05,0.0005807039756595882,-0.001724158598527684,-4.323689865200393e-05,4.321776140837898e-05,2.2342777698924028e-05,0.07501994977914152,-0.0004724268991039614,0.007658749281387041,0.06467183901281734,-0.0010061004113023977,0.025875195760471648,0.017498917431313172,0.9964739758657578,-0.0007887113755191291,-0.0012203203856426114,-0.004436820641903705,0.032828666706714645,0.16899198541317614,0.042299160030997825,0.061016824450741476,-0.000581707928368256,0.025875195760471648,-0.010681104534724581,0.01089624687773912,-0.008109473926172712,-0.0017684253399658219,-0.010680993350510709,0.11060803448363658,0.15599992529962844,-0.005424195427133362,0.1419373630394982,0.005681805148542714,-0.0001267812650975246,0.9976518618731257,1.0000000000000018,-0.007104036833600812,-0.0009528859891626615,-0.0007838406884338728,-0.000562309680585498,0.13839043910718743,0.10969107091318574,0.15207542015524703,0.12236620860670304,0.00035912384988385035,1.979246245236847e-05,0.00015464790390382825,0.0007812862894130313
Fwd Packet Length Max,-0.15275132723842877,0.0014073951946388355,-0.02531354385565637,0.041231658882581346,-0.006820596766228326,0.01576292231481051,1.0,-0.11015179788974223,0.9173090071125772,0.9539345612101745,0.31251413944584017,-0.1441467258732812,0.2848502418393425,0.27961064732396845,0.11791619638068551,-0.013748208643608855,-0.06139933150841698,-0.002165394122083779,-0.003793118052083362,0.0008233759025530009,0.0014756593126183935,-0.058664403178460715,-0.0019692906099397344,-0.0036968674825484456,0.000805543180193049,0.13478428278637278,0.02205391112824412,0.08000176810314254,0.07465488417813253,-0.020771999623400487,-0.0498649005614108,-0.023972960462784253,0.05075805105417997,-0.012829028788437934,-0.0082596088446597,-0.11970521801640832,0.5915127092928417,0.5158192240606916,0.5212804159527576,0.45662314757705436,-0.011677462254895934,-0.0498649005614108,0.13310041133351086,0.29138612349512294,-0.20442121974944436,0.0075733981038209825,0.13310468251256116,-0.08381003190664063,0.5129449444359406,0.9173090071125772,0.2848502418393425,-0.02531354385565637,-0.006820596766228326,0.041231658882581346,0.01576292222413651,0.3195455253782103,0.47588530125531664,-0.02557254805173222,0.376631398408278,0.03763946444451378,0.05916812167677441,0.06045019699034741,0.028729205579506326,-0.005610431654104549,-0.002337710782271886,-0.0038498012848608367,-0.008527514157624214
Fwd Packet Length Min,0.7625359365675998,0.0002516099585357931,0.08499111853142807,-0.00805032373843102,0.08466186438346775,-0.004259279188415064,-0.11015179788974223,1.0,0.04422754089916395,-0.16506877108408463,-0.19896314459931275,0.68253715747235,-0.06105473653692515,-0.2459363090391741,0.03062736167300235,0.0012590255501078046,-0.013713546270722602,-0.0007191122676629522,-0.0012245853155355127,0.00035363331036908683,0.0002924559318367045,-0.013625043241973814,-0.0007315631968762825,-0.0011876262980299779,0.00036622795619885404,-0.038261199505318116,-0.013121790403129836,-0.04384829011394421,-0.03369278890204813,0.006868645184485062,0.0087865067793769,0.08460428647547054,-0.011447919417450474,-0.0016140488723854099,0.013775021111083873,0.9501821236353397,-0.2082167851535356,-0.014501234269022811,-0.21381385301306713,-0.1660360486369157,-0.006845255612173192,0.0087865067793769,-0.1949370078677162,-0.2555307529175793,-0.15171281366143613,-0.003625583755442508,-0.1949358777622001,0.13709627342053995,0.03396709783506397,0.04422754089916395,-0.06105473653692515,0.08499111853142807,0.08466186438346775,-0.008050323738431016,-0.004259279170490312,-0.17967895754250832,-0.06770614238123555,0.08507863225893696,-0.49069371841532344,0.04352551975965558,-0.010382078639639806,0.03010476119605383,0.04843839500418638,-0.0016816638796160119,-0.0005373543282990913,-0.0010901079360048427,-0.002734365447041047
Fwd Packet Length Mean,-0.044380652652623365,0.0006597968295770746,-0.01450138337597644,0.016839707241604232,0.007173550061093339,-0.005424195427133362,0.9173090071125772,0.04422754089916395,1.0,0.9400923325580073,0.3273454144554871,-0.04745972246429076,0.3153481830028886,0.32880226776905663,0.1594970891139922,-0.011560989591176105,-0.07138714661731817,-0.002612702871450616,-0.0046296761917429905,0.000977229935709005,0.000743658859227786,-0.06925301582169527,-0.002453917904664971,-0.004522566081106896,0.0009742542985529494,0.042416189212451855,0.019226585212782935,0.045828089980229636,0.037751775792787275,0.0002914188600432847,-0.029805703799921566,-0.013712933063316668,0.023142059120568274,-0.012994531408879047,0.0033543490805716027,0.023604031767936674,0.5809131133895614,0.5620773150073931,0.5429968560323242,0.4745938851489824,-0.012604923335940607,-0.029805703799921566,0.22909127493872905,0.3252367810317894,-0.29685538905278647,0.0018350764205070748,0.22909630424065053,0.048519696657132676,0.5784959236772591,1.0,0.3153481830028886,-0.014501383375976439,0.007173550061093341,0.016839707241604232,-0.005424195423824498,0.459390852229408,0.37890351021104535,-0.014566569780322221,0.24472581910709373,0.06081326490240002,0.05195367884802219,0.0656693375920546,0.05258617545136185,-0.006907333502463428,-0.0026486858731201274,-0.004625723999533377,-0.010788619180982112
Fwd Packet Length Std,-0.19819874775885313,0.0005995927507055888,-0.03118335703512617,0.013973586499703641,-0.020653686792476884,-0.0014969450413628133,0.9539345612101745,-0.16506877108408463,0.9400923325580073,1.0,0.3032211453090488,-0.1853588314354538,0.2902700602855811,0.3300885766081532,0.14648327487959828,-0.010854778301792135,-0.0646981528329099,-0.0023298135528452323,-0.0041801298104691366,0.0008508940394946909,0.0006731624224457156,-0.06255315967559621,-0.002164127619733371,-0.004084665113918691,0.000838568630511879,0.050842879011672074,-0.0012833910801680253,0.03424489611218194,0.021874350905187023,-0.02284875014335636,-0.050799358653879974,-0.030459180945705613,0.01974782102585109,-0.011493228629682767,-0.0001532817761555957,-0.17246510044831256,0.5874666544117882,0.5185605381041367,0.5638610503911348,0.4289942653442847,-0.010507998708322171,-0.050799358653879974,0.2437253212654717,0.3159998183627765,-0.20450454846300772,0.011238101075272655,0.24372983377061838,-0.02948426044496047,0.5263945114787651,0.9400923325580074,0.2902700602855811,-0.03118335703512617,-0.020653686792476884,0.013973586499703641,-0.0014969450525439622,0.4579143084772242,0.3817112997239691,-0.03128546793057194,0.37215623683256416,0.015748277445753966,0.026921267996522277,0.027702396914895615,0.011927686110082625,-0.006243191540093183,-0.0024785168461447975,-0.004208340718487388,-0.00968074659800971
