variant,threshold_policy,attack_family,row_count,true_attack_rows,predicted_attack_rows,detection_rate_or_fpr,mean_attack_probability,median_attack_probability,minimum_attack_probability,maximum_attack_probability,interpretation
unweighted,maximum_internal_f1,Benign,769928,0,161,0.00020911046227699214,0.0002206801436841488,6.302535666691256e-07,2.3102954216369653e-08,0.9997246861457825,false_positive_rate
unweighted,maximum_internal_f1,Botnet,144535,144535,637,0.004407237001418342,0.009088297374546528,0.006095129065215588,2.1799598926008912e-07,0.9995591044425964,attack_detection_rate
unweighted,maximum_internal_f1,Infiltration,57370,57370,101,0.0017605020045319854,0.001352494116872549,6.628616233683715e-07,2.90472126351915e-08,0.9998161196708679,attack_detection_rate
unweighted,fpr_at_most_1_percent,Benign,769928,0,10595,0.013761027005122557,0.0002206801436841488,6.302535666691256e-07,2.3102954216369653e-08,0.9997246861457825,false_positive_rate
unweighted,fpr_at_most_1_percent,Botnet,144535,144535,138600,0.9589372816272875,0.009088297374546528,0.006095129065215588,2.1799598926008912e-07,0.9995591044425964,attack_detection_rate
unweighted,fpr_at_most_1_percent,Infiltration,57370,57370,3318,0.05783510545581314,0.001352494116872549,6.628616233683715e-07,2.90472126351915e-08,0.9998161196708679,attack_detection_rate
unweighted,fpr_at_most_0_1_percent,Benign,769928,0,1225,0.001591057865151027,0.0002206801436841488,6.302535666691256e-07,2.3102954216369653e-08,0.9997246861457825,false_positive_rate
unweighted,fpr_at_most_0_1_percent,Botnet,144535,144535,64785,0.4482305323969973,0.009088297374546528,0.006095129065215588,2.1799598926008912e-07,0.9995591044425964,attack_detection_rate
unweighted,fpr_at_most_0_1_percent,Infiltration,57370,57370,780,0.013595956074603451,0.001352494116872549,6.628616233683715e-07,2.90472126351915e-08,0.9998161196708679,attack_detection_rate
sqrt_weight,maximum_internal_f1,Benign,769928,0,178,0.0002311904489770472,0.0002768882259260863,9.407442576048197e-07,1.1121814935677321e-07,0.9998378753662109,false_positive_rate
sqrt_weight,maximum_internal_f1,Botnet,144535,144535,637,0.004407237001418342,0.01381776574999094,0.012931009754538536,8.137396889651427e-07,0.9997556805610657,attack_detection_rate
sqrt_weight,maximum_internal_f1,Infiltration,57370,57370,120,0.0020916855499389926,0.0021483267191797495,9.695760354588856e-07,1.3244185481653403e-07,0.999909520149231,attack_detection_rate
sqrt_weight,fpr_at_most_1_percent,Benign,769928,0,9807,0.01273755468043765,0.0002768882259260863,9.407442576048197e-07,1.1121814935677321e-07,0.9998378753662109,false_positive_rate
sqrt_weight,fpr_at_most_1_percent,Botnet,144535,144535,138761,0.960051198671602,0.01381776574999094,0.012931009754538536,8.137396889651427e-07,0.9997556805610657,attack_detection_rate
sqrt_weight,fpr_at_most_1_percent,Infiltration,57370,57370,3335,0.058131427575387834,0.0021483267191797495,9.695760354588856e-07,1.3244185481653403e-07,0.999909520149231,attack_detection_rate
sqrt_weight,fpr_at_most_0_1_percent,Benign,769928,0,1065,0.001383246225621097,0.0002768882259260863,9.407442576048197e-07,1.1121814935677321e-07,0.9998378753662109,false_positive_rate
sqrt_weight,fpr_at_most_0_1_percent,Botnet,144535,144535,75653,0.5234233922579306,0.01381776574999094,0.012931009754538536,8.137396889651427e-07,0.9997556805610657,attack_detection_rate
sqrt_weight,fpr_at_most_0_1_percent,Infiltration,57370,57370,592,0.010318982046365697,0.0021483267191797495,9.695760354588856e-07,1.3244185481653403e-07,0.999909520149231,attack_detection_rate
full_weight,maximum_internal_f1,Benign,769928,0,170,0.0002207998670005507,0.00031936049344949424,9.444000852454337e-07,1.0137679140598266e-07,0.9999169111251831,false_positive_rate
full_weight,maximum_internal_f1,Botnet,144535,144535,637,0.004407237001418342,0.017399825155735016,0.016066424548625946,5.717920998904447e-07,0.9998037219047546,attack_detection_rate
full_weight,maximum_internal_f1,Infiltration,57370,57370,118,0.002056824124106676,0.0025613063480705023,9.864425010164268e-07,1.0520307114347816e-07,0.9999505281448364,attack_detection_rate
full_weight,fpr_at_most_1_percent,Benign,769928,0,9948,0.012920688687773402,0.00031936049344949424,9.444000852454337e-07,1.0137679140598266e-07,0.9999169111251831,false_positive_rate
full_weight,fpr_at_most_1_percent,Botnet,144535,144535,138821,0.9604663230359428,0.017399825155735016,0.016066424548625946,5.717920998904447e-07,0.9998037219047546,attack_detection_rate
full_weight,fpr_at_most_1_percent,Infiltration,57370,57370,3295,0.0574341990587415,0.0025613063480705023,9.864425010164268e-07,1.0520307114347816e-07,0.9999505281448364,attack_detection_rate
full_weight,fpr_at_most_0_1_percent,Benign,769928,0,1073,0.0013936368075975936,0.00031936049344949424,9.444000852454337e-07,1.0137679140598266e-07,0.9999169111251831,false_positive_rate
full_weight,fpr_at_most_0_1_percent,Botnet,144535,144535,75469,0.5221503442072855,0.017399825155735016,0.016066424548625946,5.717920998904447e-07,0.9998037219047546,attack_detection_rate
full_weight,fpr_at_most_0_1_percent,Infiltration,57370,57370,771,0.013439079658358027,0.0025613063480705023,9.864425010164268e-07,1.0520307114347816e-07,0.9999505281448364,attack_detection_rate
