variant,backend,threshold_policy,attack_family,row_count,true_attack_rows,predicted_attack_rows,detection_rate_or_fpr,mean_attack_probability,median_attack_probability,minimum_attack_probability,maximum_attack_probability,interpretation
unweighted,gpu_opencl,maximum_internal_f1,Benign,769928,0,206,0.000267557485894785,0.0002862806806670062,5.413416887192171e-07,1.0973311017665287e-07,0.9972689840311196,false_positive_rate
unweighted,gpu_opencl,maximum_internal_f1,Botnet,144535,144535,0,0.0,0.01857880658715074,0.031671534449519534,6.056869495076376e-07,0.1771166044231462,attack_detection_rate
unweighted,gpu_opencl,maximum_internal_f1,Infiltration,57370,57370,51,0.0008889663587240719,0.0017703844275895881,5.696474496380238e-07,2.0514569712567466e-07,0.9985812044755976,attack_detection_rate
unweighted,gpu_opencl,fpr_at_most_1_percent,Benign,769928,0,10294,0.013370081358256876,0.0002862806806670062,5.413416887192171e-07,1.0973311017665287e-07,0.9972689840311196,false_positive_rate
unweighted,gpu_opencl,fpr_at_most_1_percent,Botnet,144535,144535,138609,0.9589995502819386,0.01857880658715074,0.031671534449519534,6.056869495076376e-07,0.1771166044231462,attack_detection_rate
unweighted,gpu_opencl,fpr_at_most_1_percent,Infiltration,57370,57370,3392,0.05912497821160886,0.0017703844275895881,5.696474496380238e-07,2.0514569712567466e-07,0.9985812044755976,attack_detection_rate
unweighted,gpu_opencl,fpr_at_most_0_1_percent,Benign,769928,0,1006,0.0013066156835444354,0.0002862806806670062,5.413416887192171e-07,1.0973311017665287e-07,0.9972689840311196,false_positive_rate
unweighted,gpu_opencl,fpr_at_most_0_1_percent,Botnet,144535,144535,81151,0.5614626215103609,0.01857880658715074,0.031671534449519534,6.056869495076376e-07,0.1771166044231462,attack_detection_rate
unweighted,gpu_opencl,fpr_at_most_0_1_percent,Infiltration,57370,57370,1196,0.02084713264772529,0.0017703844275895881,5.696474496380238e-07,2.0514569712567466e-07,0.9985812044755976,attack_detection_rate
sqrt_weight,gpu_opencl,maximum_internal_f1,Benign,769928,0,194,0.0002519716129300402,0.000305046403326605,4.869473181858494e-07,7.617359060803229e-08,0.9982819191868187,false_positive_rate
sqrt_weight,gpu_opencl,maximum_internal_f1,Botnet,144535,144535,0,0.0,0.018162342949094346,0.029805535530570373,2.610746695327882e-07,0.3828957197233903,attack_detection_rate
sqrt_weight,gpu_opencl,maximum_internal_f1,Infiltration,57370,57370,41,0.0007146592295624891,0.0029939935196640513,4.869473181858494e-07,9.904692758945145e-08,0.9992140240084327,attack_detection_rate
sqrt_weight,gpu_opencl,fpr_at_most_1_percent,Benign,769928,0,10176,0.013216820274103553,0.000305046403326605,4.869473181858494e-07,7.617359060803229e-08,0.9982819191868187,false_positive_rate
sqrt_weight,gpu_opencl,fpr_at_most_1_percent,Botnet,144535,144535,138610,0.9590064690213443,0.018162342949094346,0.029805535530570373,2.610746695327882e-07,0.3828957197233903,attack_detection_rate
sqrt_weight,gpu_opencl,fpr_at_most_1_percent,Infiltration,57370,57370,3305,0.057608506187903086,0.0029939935196640513,4.869473181858494e-07,9.904692758945145e-08,0.9992140240084327,attack_detection_rate
sqrt_weight,gpu_opencl,fpr_at_most_0_1_percent,Benign,769928,0,903,0.0011728369405970428,0.000305046403326605,4.869473181858494e-07,7.617359060803229e-08,0.9982819191868187,false_positive_rate
sqrt_weight,gpu_opencl,fpr_at_most_0_1_percent,Botnet,144535,144535,80539,0.5572283529940845,0.018162342949094346,0.029805535530570373,2.610746695327882e-07,0.3828957197233903,attack_detection_rate
sqrt_weight,gpu_opencl,fpr_at_most_0_1_percent,Infiltration,57370,57370,1011,0.017622450758236013,0.0029939935196640513,4.869473181858494e-07,9.904692758945145e-08,0.9992140240084327,attack_detection_rate
full_weight,gpu_opencl,maximum_internal_f1,Benign,769928,0,193,0.00025067279018297815,0.0003377493248936748,4.819079890416153e-07,3.879090936778959e-08,0.9995588808947047,false_positive_rate
full_weight,gpu_opencl,maximum_internal_f1,Botnet,144535,144535,0,0.0,0.010594913093490414,0.015093107304689723,2.4233129060164093e-07,0.5133260355873063,attack_detection_rate
full_weight,gpu_opencl,maximum_internal_f1,Infiltration,57370,57370,30,0.0005229213874847481,0.0038415141482665946,4.939438229251278e-07,7.294706561923558e-08,0.9995176124100976,attack_detection_rate
full_weight,gpu_opencl,fpr_at_most_1_percent,Benign,769928,0,10094,0.013110316808844464,0.0003377493248936748,4.819079890416153e-07,3.879090936778959e-08,0.9995588808947047,false_positive_rate
full_weight,gpu_opencl,fpr_at_most_1_percent,Botnet,144535,144535,138608,0.958992631542533,0.010594913093490414,0.015093107304689723,2.4233129060164093e-07,0.5133260355873063,attack_detection_rate
full_weight,gpu_opencl,fpr_at_most_1_percent,Infiltration,57370,57370,3265,0.056911277671256755,0.0038415141482665946,4.939438229251278e-07,7.294706561923558e-08,0.9995176124100976,attack_detection_rate
full_weight,gpu_opencl,fpr_at_most_0_1_percent,Benign,769928,0,777,0.001009185274467223,0.0003377493248936748,4.819079890416153e-07,3.879090936778959e-08,0.9995588808947047,false_positive_rate
full_weight,gpu_opencl,fpr_at_most_0_1_percent,Botnet,144535,144535,79942,0.5530978655688934,0.010594913093490414,0.015093107304689723,2.4233129060164093e-07,0.5133260355873063,attack_detection_rate
full_weight,gpu_opencl,fpr_at_most_0_1_percent,Infiltration,57370,57370,981,0.017099529370751265,0.0038415141482665946,4.939438229251278e-07,7.294706561923558e-08,0.9995176124100976,attack_detection_rate
