variant,threshold_policy,attack_family,row_count,true_attack_rows,predicted_attack_rows,detection_rate_or_fpr,mean_attack_probability,median_attack_probability,minimum_attack_probability,maximum_attack_probability,interpretation
unweighted,maximum_internal_f1,Benign,769928,0,49,6.364231460604109e-05,0.00012718725881743888,2.249949999137225e-07,1.7284283660973538e-10,0.9998453238928484,false_positive_rate
unweighted,maximum_internal_f1,Botnet,144535,144535,0,0.0,0.08549771533402403,0.08745761777778821,7.954232571468679e-08,0.3829979284180657,attack_detection_rate
unweighted,maximum_internal_f1,Infiltration,57370,57370,7,0.00012201499041310789,0.000630281798993767,1.7797798821910322e-07,2.101325426294827e-10,0.9907903988667442,attack_detection_rate
unweighted,fpr_at_most_1_percent,Benign,769928,0,12728,0.016531415924605938,0.00012718725881743888,2.249949999137225e-07,1.7284283660973538e-10,0.9998453238928484,false_positive_rate
unweighted,fpr_at_most_1_percent,Botnet,144535,144535,138619,0.9590687376759954,0.08549771533402403,0.08745761777778821,7.954232571468679e-08,0.3829979284180657,attack_detection_rate
unweighted,fpr_at_most_1_percent,Infiltration,57370,57370,3228,0.0562663412933589,0.000630281798993767,1.7797798821910322e-07,2.101325426294827e-10,0.9907903988667442,attack_detection_rate
unweighted,fpr_at_most_0_1_percent,Benign,769928,0,1315,0.0017079519123866127,0.00012718725881743888,2.249949999137225e-07,1.7284283660973538e-10,0.9998453238928484,false_positive_rate
unweighted,fpr_at_most_0_1_percent,Botnet,144535,144535,138590,0.9588680942332307,0.08549771533402403,0.08745761777778821,7.954232571468679e-08,0.3829979284180657,attack_detection_rate
unweighted,fpr_at_most_0_1_percent,Infiltration,57370,57370,579,0.010092382778455639,0.000630281798993767,1.7797798821910322e-07,2.101325426294827e-10,0.9907903988667442,attack_detection_rate
sqrt_weight,maximum_internal_f1,Benign,769928,0,50,6.494113735310315e-05,0.000158592109961986,3.7283273171406385e-07,1.944271873284329e-10,0.9998323920329435,false_positive_rate
sqrt_weight,maximum_internal_f1,Botnet,144535,144535,0,0.0,0.011156596733649963,0.0101972285745657,3.309397560559086e-08,0.38626439299181564,attack_detection_rate
sqrt_weight,maximum_internal_f1,Infiltration,57370,57370,11,0.000191737842077741,0.0012119025108942886,3.4864077283531046e-07,1.9346697305922436e-10,0.9942725441949242,attack_detection_rate
sqrt_weight,fpr_at_most_1_percent,Benign,769928,0,11007,0.014296141976912128,0.000158592109961986,3.7283273171406385e-07,1.944271873284329e-10,0.9998323920329435,false_positive_rate
sqrt_weight,fpr_at_most_1_percent,Botnet,144535,144535,138615,0.9590410627183727,0.011156596733649963,0.0101972285745657,3.309397560559086e-08,0.38626439299181564,attack_detection_rate
sqrt_weight,fpr_at_most_1_percent,Infiltration,57370,57370,3290,0.05734704549416071,0.0012119025108942886,3.4864077283531046e-07,1.9346697305922436e-10,0.9942725441949242,attack_detection_rate
sqrt_weight,fpr_at_most_0_1_percent,Benign,769928,0,1686,0.002189815151546638,0.000158592109961986,3.7283273171406385e-07,1.944271873284329e-10,0.9998323920329435,false_positive_rate
sqrt_weight,fpr_at_most_0_1_percent,Botnet,144535,144535,116753,0.8077835818313903,0.011156596733649963,0.0101972285745657,3.309397560559086e-08,0.38626439299181564,attack_detection_rate
sqrt_weight,fpr_at_most_0_1_percent,Infiltration,57370,57370,923,0.016088548021614083,0.0012119025108942886,3.4864077283531046e-07,1.9346697305922436e-10,0.9942725441949242,attack_detection_rate
full_weight,maximum_internal_f1,Benign,769928,0,39,5.0654087135420454e-05,0.0001669487789441521,4.897110272934586e-07,5.2115217067529133e-11,0.9998996792102723,false_positive_rate
full_weight,maximum_internal_f1,Botnet,144535,144535,0,0.0,0.018518379600115226,0.017729748673062554,8.383746086365457e-08,0.4123504950412964,attack_detection_rate
full_weight,maximum_internal_f1,Infiltration,57370,57370,3,5.2292138748474813e-05,0.0009885177122864524,3.666821249838295e-07,5.751383585571774e-11,0.9961063725807271,attack_detection_rate
full_weight,fpr_at_most_1_percent,Benign,769928,0,11381,0.014781901684313339,0.0001669487789441521,4.897110272934586e-07,5.2115217067529133e-11,0.9998996792102723,false_positive_rate
full_weight,fpr_at_most_1_percent,Botnet,144535,144535,138613,0.9590272252395613,0.018518379600115226,0.017729748673062554,8.383746086365457e-08,0.4123504950412964,attack_detection_rate
full_weight,fpr_at_most_1_percent,Infiltration,57370,57370,3418,0.05957817674742897,0.0009885177122864524,3.666821249838295e-07,5.751383585571774e-11,0.9961063725807271,attack_detection_rate
full_weight,fpr_at_most_0_1_percent,Benign,769928,0,1280,0.0016624931162394405,0.0001669487789441521,4.897110272934586e-07,5.2115217067529133e-11,0.9998996792102723,false_positive_rate
full_weight,fpr_at_most_0_1_percent,Botnet,144535,144535,116493,0.8059847095859134,0.018518379600115226,0.017729748673062554,8.383746086365457e-08,0.4123504950412964,attack_detection_rate
full_weight,fpr_at_most_0_1_percent,Infiltration,57370,57370,652,0.011364824821335193,0.0009885177122864524,3.666821249838295e-07,5.751383585571774e-11,0.9961063725807271,attack_detection_rate
