feature,importance,normalized_importance
Init Fwd Win Bytes,31.02246700402433,0.3102246700402433
Init Bwd Win Bytes,17.104024889851758,0.17104024889851754
Subflow Fwd Bytes,10.17294022799247,0.10172940227992469
Bwd Packet Length Std,6.340712154026055,0.06340712154026054
Fwd Packet Length Max,6.142141060470177,0.061421410604701764
Fwd Header Length,5.4458382017214975,0.054458382017214965
Fwd IAT Min,3.92535905933027,0.03925359059330269
Fwd IAT Total,3.586154096053121,0.03586154096053121
Bwd IAT Min,1.8013238211919467,0.018013238211919465
Fwd IAT Max,1.6531265400913044,0.016531265400913042
Fwd Packets/s,1.4184745670399643,0.01418474567039964
Fwd IAT Mean,1.3128519915099688,0.013128519915099685
Packet Length Max,1.2495878178501587,0.012495878178501585
Flow IAT Mean,1.2377229427805228,0.012377229427805225
Bwd Packet Length Mean,0.7696942712539103,0.007696942712539102
Flow Bytes/s,0.7358304508161971,0.00735830450816197
Bwd Packets/s,0.7300859882663112,0.007300859882663111
Flow IAT Std,0.6943042578496589,0.006943042578496587
Flow Packets/s,0.6444399238859965,0.006444399238859964
Bwd Header Length,0.627299560042888,0.006272995600428879
Packet Length Std,0.5542259275203048,0.005542259275203047
Fwd Packet Length Std,0.4746024744710388,0.004746024744710388
Fwd Packet Length Mean,0.3945930635316117,0.003945930635316117
Bwd Packet Length Max,0.38840965823756846,0.003884096582375684
Total Backward Packets,0.29951481735025004,0.0029951481735025
Subflow Bwd Bytes,0.29763241317694256,0.002976324131769425
Avg Packet Size,0.2446441740277546,0.0024464417402775456
Bwd IAT Max,0.1916953183126256,0.0019169531831262556
Bwd IAT Total,0.1660023963938914,0.0016600239639389136
Packet Length Mean,0.13746101821054763,0.001374610182105476
Bwd IAT Mean,0.13489298858398652,0.001348929885839865
Bwd IAT Std,0.10194692413498814,0.0010194692413498813
